id,date,HIC,well,scene,label,area,intensity_max-DAPI Class,row,column,chelation,media
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_2_1_P4-A9.ome__0__Image:0,2024-08-07,24,A9,P4-A9,17,316.25563335000004,1.0,A,9,100uM DFO,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_2_1_P4-A9.ome__0__Image:0,2024-08-07,24,A9,P4-A9,18,0.13860729,0.0,A,9,100uM DFO,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_2_1_P4-A9.ome__0__Image:0,2024-08-07,24,A9,P4-A9,19,3.6499919700000003,0.0,A,9,100uM DFO,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_2_1_P4-A9.ome__0__Image:0,2024-08-07,24,A9,P4-A9,20,35.514267860000004,0.0,A,9,100uM DFO,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_56_55_P8-D9.ome__0__Image:0,2024-08-07,24,D9,P8-D9,1,228.3940123,1.0,D,9,50uM DFP,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_56_55_P8-D9.ome__0__Image:0,2024-08-07,24,D9,P8-D9,2,0.13860729,0.0,D,9,50uM DFP,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_56_55_P8-D9.ome__0__Image:0,2024-08-07,24,D9,P8-D9,3,0.061603240000000004,0.0,D,9,50uM DFP,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_56_55_P8-D9.ome__0__Image:0,2024-08-07,24,D9,P8-D9,4,0.13860729,0.0,D,9,50uM DFP,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_56_55_P8-D9.ome__0__Image:0,2024-08-07,24,D9,P8-D9,5,0.24641296000000001,0.0,D,9,50uM DFP,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_56_55_P8-D9.ome__0__Image:0,2024-08-07,24,D9,P8-D9,6,41.659191050000004,0.0,D,9,50uM DFP,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_56_55_P8-D9.ome__0__Image:0,2024-08-07,24,D9,P8-D9,7,0.9856518400000001,0.0,D,9,50uM DFP,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_56_55_P8-D9.ome__0__Image:0,2024-08-07,24,D9,P8-D9,8,2.29472069,0.0,D,9,50uM DFP,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_56_55_P8-D9.ome__0__Image:0,2024-08-07,24,D9,P8-D9,9,1.63248586,0.0,D,9,50uM DFP,NGM
